주식구분,국가,거래일,증권사,종목명,계좌유형,거래유형,분배주기,매입주가,수량,매수금액,매도금액,적용환율
개별주식,USA,2025-11-07,키움증권,VTI-USA,일반계좌,매수,분기,335.9700,300,100791,0.00,1427.40
ETF주식,USA,2025-11-07,키움증권,VGT-IT,일반계좌,매수,분기,797.9200,20,15958,0.00,1427.40
ETF주식,USA,2025-11-07,키움증권,SOXX-반도체,일반계좌,매수,분기,309.4200,100,30942,0.00,1427.40
ETF주식,USA,2025-11-07,키움증권,VOO-S&P500,일반계좌,매수,분기,628.9475,100,62895,0.00,1427.40
ETF주식,USA,2025-11-07,키움증권,QQQ-인베스코 ETF,일반계좌,매수,분기,633.1300,100,63313,0.00,1427.40
ETF주식,USA,2025-11-03,한국투자증권,ACE 미국빅테크TOP7 PLUS,연금저축계좌,매수,분기,23085,390,9003150,0.00,0.00
ETF주식,USA,2025-11-03,한국투자증권,TIGER 미국테크TOP10 INDXX,연금저축계좌,매수,분기,31200,290,9048000,0.00,0.00
ETF주식,USA,2025-10-01,키움증권,QQQ-인베스코 ETF,일반계좌,매수,분기,870068,58,50463944,0.00,0.00
ETF주식,USA,2025-10-01,키움증권,SMH-반도체,일반계좌,매수,없음,493731,66,32586246,0.00,0.00
ETF주식,KOR,2025-10-01,키움증권,QQQM-나스닥100 인베스코 ETF,일반계좌,매수,분기,358238,22,7881236,0.00,0.00
ETF주식,KOR,2025-10-01,키움증권,TSLA-테슬라,일반계좌,매수,없음,632780,2,1265560,0.00,0.00
ETF주식,KOR,2025-09-01,한국투자증권,KODEX 미국AI테크TOP10커버드콜,비과세저축계좌,매수,월말,12042,2701,32525442,0.00,0.00
ETF주식,KOR,2025-09-01,한국투자증권,RISE 200위클리커버드콜,비과세저축계좌,매수,월말,9365,1686,15789390,0.00,0.00
ETF주식,KOR,2025-09-01,한국투자증권,RISE 미국AI밸류체인데일리고정커버드콜,비과세저축계좌,매수,월말,14140,2500,35350000,0.00,0.00
ETF주식,USA,2025-09-01,한국투자증권,KODEX 200타겟위클리커버드콜,일반배당계좌,매수,월중,11528,3000,34584000,0.00,0.00
ETF주식,KOR,2025-09-01,한국투자증권,RISE 200위클리커버드콜,일반배당계좌,매수,월말,10724,1863,19978812,0.00,0.00
ETF주식,KOR,2023-09-01,한국투자증권,TIGER 미국나스닥100,ISA,매수,분기,91530,50,4576500,0.00,0.00
ETF주식,KOR,2023-09-01,한국투자증권,TIGER 미국S&P500,ISA,매수,분기,15008,687,10310496,0.00,0.00
ETF주식,KOR,2023-09-01,한국투자증권,ACE 미국빅테크TOP7 PLUS,ISA,매수,분기,15700,332,5212400,0.00,0.00
ETF주식,KOR,2023-09-01,한국투자증권,TIGER 미국S&P500,연금저축계좌,매수,분기,14953,603,9016659,0.00,0.00
ETF주식,USA,2023-09-01,한국투자증권,TIGER 미국나스닥100,연금저축계좌,매수,분기,88943,987,87786741,0.00,0.00
ETF주식,USA,2023-09-01,NH증권,SPYM-S&P500,일반계좌,매수,분기,70701,300,21210300,0.00,0.00
ETF주식,USA,2023-08-31,키움증권,TSLA-테슬라,일반계좌,매수,없음,266134,48,12774432,0.00,0.00
개별주식,USA,2023-08-31,키움증권,SMH-반도체,일반계좌,매수,없음,389320,42,16351440,0.00,0.00
ETF주식,KOR,2023-08-31,키움증권,QQQM-나스닥100 인베스코 ETF,일반계좌,매수,분기,318854,50,15942700,0.00,0.00
ETF주식,KOR,2023-08-31,키움증권,SMH-반도체,일반계좌,매수,없음,274110,125,34263750,0.00,0.00
ETF주식,USA,2023-08-31,키움증권,QQQ-인베스코 ETF,일반계좌,매수,분기,608191,37,22503067,0.00,0.00
ETF주식,USA,2023-08-31,키움증권,QQQM-나스닥100 인베스코 ETF,일반계좌,매수,분기,253730,28,7104440,0.00,0.00
ETF주식,USA,2023-08-31,키움증권,TQQQ-3X레버리지,일반계좌,매수,분기,81444,26,2117544,0.00,0.00
ETF주식,USA,2023-08-31,키움증권,SMH-반도체,일반계좌,매수,없음,280356,25,7008900,0.00,0.00
ETF주식,USA,2023-08-31,키움증권,SMH-반도체,일반계좌,매수,없음,283522,41,11624402,0.00,0.00
