주식구분,국가,거래일,증권사,종목명,계좌유형,거래유형,분배주기,매입주가,수량,매수금액,매도금액,적용환율
개별주식,USA,2023.8.31,키움증권,TSLA-테슬라,일반계좌,매수,없음,266.134,48,12774.432,0,0
ETF주식,USA,2023.8.31,키움증권,SMH-반도체,일반계좌,매수,없음,389.32,42,16351.44,0,0
ETF주식,USA,2023.8.31,키움증권,QQQM-나스닥100 인베스코 ETF,일반계좌,매수,분기,318.854,50,15942.7,0,0
ETF주식,USA,2023.8.31,키움증권,SMH-반도체,일반계좌,매수,없음,274.11,125,34263.75,0,0
ETF주식,USA,2023.8.31,키움증권,QQQ-인베스코 ETF,일반계좌,매수,분기,608.191,37,22503.067,0,0
ETF주식,USA,2023.8.31,키움증권,QQQM-나스닥100 인베스코 ETF,일반계좌,매수,분기,253.73,28,7104.44,0,0
ETF주식,USA,2023.8.31,키움증권,TQQQ-3X레버리지,일반계좌,매수,분기,81.444,26,2117.544,0,0
ETF주식,USA,2023.8.31,키움증권,SMH-반도체,일반계좌,매수,없음,280.356,25,7008.9,0,0
ETF주식,USA,2023.8.31,키움증권,SMH-반도체,일반계좌,매수,없음,283.522,41,11624.402,0,0
ETF주식,KOR,2023.9.1,한국투자증권,TIGER 미국나스닥100,ISA,매수,분기,91530,50,4576500,0,0
ETF주식,KOR,2023.9.1,한국투자증권,TIGER 미국S&P500,ISA,매수,분기,15008,687,10310496,0,0
ETF주식,KOR,2023.9.1,한국투자증권,ACE 미국빅테크TOP7 PLUS,ISA,매수,분기,15700,332,5212400,0,0
ETF주식,KOR,2023.9.1,한국투자증권,TIGER 미국S&P500,연금저축계좌,매수,분기,14953,603,9016659,0,0
ETF주식,KOR,2023.9.1,한국투자증권,TIGER 미국나스닥100,연금저축계좌,매수,분기,88943,987,87786741,0,0
ETF주식,USA,2023.9.1,NH증권,SPYM-S&P500,일반계좌,매수,분기,70.701,300,21210.3,0,0
ETF주식,KOR,2025.9.1,한국투자증권,KODEX 미국AI테크TOP10커버드콜,비과세저축계좌,매수,월말,12042,2701,32525442,0,0
ETF주식,KOR,2025.9.1,한국투자증권,RISE 200위클리커버드콜,비과세저축계좌,매수,월말,9365,1686,15789390,0,0
ETF주식,KOR,2025.9.1,한국투자증권,RISE 미국AI밸류체인데일리고정커버드콜,비과세저축계좌,매수,월말,14140,2500,35350000,0,0
ETF주식,KOR,2025.9.1,한국투자증권,KODEX 200타겟위클리커버드콜,일반배당계좌,매수,월중,11528,3000,34584000,0,0
ETF주식,KOR,2025.9.1,한국투자증권,RISE 200위클리커버드콜,일반배당계좌,매수,월말,10724,1863,19978812,0,0
ETF주식,USA,2025.10.1,키움증권,QQQ-인베스코 ETF,일반계좌,매수,분기,870.068,58,50463.944,0,0
ETF주식,USA,2025.10.1,키움증권,SMH-반도체,일반계좌,매수,없음,493.731,66,32586.246,0,0
ETF주식,USA,2025.10.1,키움증권,QQQM-나스닥100 인베스코 ETF,일반계좌,매수,분기,358.238,22,7881.236,0,0
개별주식,USA,2025.10.1,키움증권,TSLA-테슬라,일반계좌,매수,없음,632.78,2,1265.56,0,0
ETF주식,KOR,2025.11.3,한국투자증권,ACE 미국빅테크TOP7 PLUS,연금저축계좌,매수,분기,23085,390,9003150,0,0
ETF주식,KOR,2025.11.3,한국투자증권,TIGER 미국테크TOP10 INDXX,연금저축계좌,매수,분기,31200,290,9048000,0,0
ETF주식,USA,2025.11.7,키움증권,VTI-USA,일반계좌,매수,분기,335.97,300,"100,791",0,"1,427.40"
ETF주식,USA,2025.11.7,키움증권,VGT-IT,일반계좌,매수,분기,797.92,20,"15,958",0,"1,427.40"
ETF주식,USA,2025.11.7,키움증권,SOXX-반도체,일반계좌,매수,분기,309.42,100,"30,942",0,"1,427.40"
ETF주식,USA,2025.11.7,키움증권,VOO-S&P500,일반계좌,매수,분기,628.94,100,"62,895",0,"1,427.40"
ETF주식,USA,2025.11.7,키움증권,QQQ-인베스코 ETF,일반계좌,매수,분기,633.13,100,"63,313",0,"1,427.40"
